kmname,str
source_and_reliability,source_and_reliability
source_and_reliability,source and reliability
source_and_reliability,source reliability
history_source,source
history_source,historian
history_source,history source
history_source,history obtained from
history_source,history obtain from
history_source,history obtain
history_source,HX obtained from
history_source,hx obtain from
history_source,hx obtain
history_source,history_source
history_source,SOURCES OF INFORMATION
history_source,source of information
history_source,source information
history_source,informant
reliability,reliability
reliability,reliability
document_types,document types
document_types,document type
document_types,document_types
general_history_and_physical,H&P
general_history_and_physical,h p
general_history_and_physical,history and physical
general_history_and_physical,history physical
general_history_and_physical,general_history_and_physical
general_history_and_physical,medical history and general physical examination
general_history_and_physical,medical history general physical examination
general_history_and_physical,general history and physical
general_history_and_physical,general history physical
inpatient_history_and_physical,inpatient_history_and_physical
inpatient_history_and_physical,admission history and physical
inpatient_history_and_physical,admission history physical
inpatient_history_and_physical,inpatient history and physical
inpatient_history_and_physical,inpatient history physical
inpatient_history_and_physical,admitting note
inpatient_history_and_physical,admit note
inpatient_history_and_physical,inpatient h&p
inpatient_history_and_physical,inpatient h p
clinic_history_and_physical,clinic history and physical
clinic_history_and_physical,clinic history physical
clinic_history_and_physical,clinic_history_and_physical
clinic_history_and_physical,outpatient h&p
clinic_history_and_physical,out patient h p
clinic_history_and_physical,outpatient history and physical
clinic_history_and_physical,out patient history and physical
clinic_history_and_physical,out patient history physical
clinic_history_and_physical,clinic h&p
clinic_history_and_physical,clinic h p
attending_admission_confirmation_note,attending_admission_confirmation_note
attending_admission_confirmation_note,attending admission confirmation note
attending_admission_confirmation_note,attending admission note
discharge_summary,DS
discharge_summary,ds
discharge_summary,discharge summary
discharge_summary,discharge_summary
discharge_summary,DCS
discharge_summary,dcs
clinic_note,clinic visit
clinic_note,clinic_note
clinic_note,clinic note
progress_note,progress note
progress_note,inpatient progress note
progress_note,progress_note
procedure_note,procedure note
procedure_note,procedure_note
epidural_procedure_note,APS epidural_procedure_note
epidural_procedure_note,a p s epidural_procedure_note
epidural_procedure_note,epidural procedure note
epidural_procedure_note,epidural_procedure_note
epidural_procedure_note,epidural note
consultation_note,consultation_note
consultation_note,consultation note
operative_notes,operative_notes
operative_notes,operative notes
operative_notes,operative note
post_operative_note,post_operative_note
post_operative_note,post operative note
brief_operative_note,brief_operative_note
brief_operative_note,brief operative note
providers,provider
providers,providers
providers,provider
providers,providers
providers_by_type,providers_by_type
providers_by_type,providers by type
providers_by_type,provider by type
providers_by_type,provider type
physician,physician
physician,physician
dictating_physician,dictating_physician
dictating_physician,dictating physician
dictating_physician,dictate physician
dictating_physician,Dictated By
dictating_physician,dictate by
dictating_physician,dictate
requesting_physician,requesting_physician
requesting_physician,requesting physician
requesting_physician,request physician
private_physician,private physician
private_physician,private_physician
surgeon,surgeon
surgeon,surgeon
pediatrician,pediatrician
pediatrician,pediatrician
obstetrician,obstetrician
obstetrician,obstetrician
primary_physician,pcp
primary_physician,general practitioner
primary_physician,primary physician
primary_physician,primary care provider
primary_physician,primary care physician
primary_physician,gp
primary_physician,primary_physician
other_housestaff,other_housestaff
other_housestaff,other housestaff
other_housestaff,other house staff
attending_physician,attending physician
attending_physician,attending
attending_physician,attending_physician
discharge_attending_physician,discharge attending physician
discharge_attending_physician,discharge_attending_physician
medicine_attending_physician,medicine attending
medicine_attending_physician,medicine attending physician
medicine_attending_physician,medicine_attending_physician
surgery_attending_physician,surgery attending
surgery_attending_physician,surgery_attending_physician
surgery_attending_physician,surgery attending physician
anesthesiologist,anesthesiologist
anesthesiologist,anesthesiologist
additional_attending_physician,additional attending physician
additional_attending_physician,additional_attending_physician
additional_resident,additional resident
additional_resident,additional_resident
intern,intern
intern,intern
resident,resident
resident,resident
fellow,clinical_fellow
fellow,fellow
fellow,fellow
pathologist,pathologist
pathologist,pathologist
radiologist,radiologist
radiologist,radiologist
infectious_disease_attending,infectious_disease_attending
infectious_disease_attending,infectious disease attending physician
infectious_disease_attending,infectious disease attending
cardiologist,cardiologist
cardiologist,cardiologist
nonphysician,nonphysician
nonphysician,nonphysician
midwife,primary midwife
midwife,midwife
midwife,midwife
orthodontist,orthodontist
orthodontist,orthodontist
nurse_practitioner,nurse practitioner
nurse_practitioner,nurse_practitioner
neonatal_nurse_practitioner,neonatal_nurse_practitioner
neonatal_nurse_practitioner,neonatal nurse practitioner
neonatal_nurse_practitioner,nnp
family_nurse_practitioner,family_nurse_practitioner
family_nurse_practitioner,family nurse practitioner
family_nurse_practitioner,fnp
providers_by_role,providers_by_role
providers_by_role,providers by role
providers_by_role,provider by role
providers_by_role,provider role
surgical_assistants,assistants
surgical_assistants,assistant
surgical_assistants,assistant
surgical_assistants,surgical assistant
surgical_assistants,surgical_assistants
first_assistant,first_assistant
first_assistant,first assistant
second_assistant,second assistant
second_assistant,second_assistant
referral,referral source
referral,referral
referral,referral
referring_physician,referring obstetrician
referring_physician,refer obstetrician
referring_physician,referring physicians
referring_physician,refer physician
referring_physician,referring pediatrician
referring_physician,refer pediatrician
referring_physician,referring_physician
referring_physician,referring physician
referring_physician,refer physician
additional_referring_physician,additional_referring_physician
additional_referring_physician,additional referring physician
additional_referring_physician,additional refer physician
consultant,consultants
consultant,consultant
consultant,consultations
consultant,consultation
consultant,I have requested consultation by
consultant,i have request consultation by
